ok,category,item_name,display_id,ticket_id,ticket_url,group_assigned,group_id,group_name,error
no,CWT support,CWT Matrix Request Form - AU/NZ,1518,,,no,,,"POST /api/v2/service_catalog/items/1518/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""product_issue_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,CWT General Inquiry for SNAP Product Support,1366,3265854,https://amexgbt.freshservice.com/a/tickets/3265854,no,,,
no,CWT support,CWT Matrix Request Form - US/Canada,1514,,,no,,,"POST /api/v2/service_catalog/items/1514/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""business_unit_1"",""message"":""It should be one of these values: 'CWT US,CWT Canada,Harvey's Travel'"",""code"":""invalid_value""}]}"
yes,CWT support,CWT Payment Platform User Access,1439,3265855,https://amexgbt.freshservice.com/a/tickets/3265855,no,,,
no,CWT support,CWT Request for Privileged Access,1430,,,no,,,"POST /api/v2/service_catalog/items/1430/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""type_of_unix_access_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,CWT Portrait Case Support,1521,3265856,https://amexgbt.freshservice.com/a/tickets/3265856,no,,,
no,CWT support,CWT SN Resolve,1370,,,no,,,"POST /api/v2/service_catalog/items/1370/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""service_request"",""message"":""Invalid Invalid value Client Top Name,Invalid Invalid value Client Subunit Name"",""code"":""invalid_value""}]}"
yes,CWT support,CWT Security Encryption Management,1419,3265857,https://amexgbt.freshservice.com/a/tickets/3265857,no,,,
yes,CWT support,CWT Unix Server Access,1432,3265947,https://amexgbt.freshservice.com/a/tickets/3265947,no,,,
yes,CWT support,CWT-Access to Citrix Desktops - Applications - Printers,1431,3265948,https://amexgbt.freshservice.com/a/tickets/3265948,no,,,
yes,CWT support,CWT-Access to Network Share (Y Drive Directory),1436,3265949,https://amexgbt.freshservice.com/a/tickets/3265949,no,,,
no,CWT support,CWT-AWS Account Creation Request,1422,,,no,,,"POST /api/v2/service_catalog/items/1422/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""cloud_access_group_owner"",""message"":""This field cannot be empty"",""code"":""missing_field""},{""field"":""billing_cost_center_team"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,CWT-Citrix Work Request,1406,3265950,https://amexgbt.freshservice.com/a/tickets/3265950,no,,,
yes,CWT support,CWT-Data Network Capacity Analysis,1416,3265951,https://amexgbt.freshservice.com/a/tickets/3265951,no,,,
yes,CWT support,CWT-Control M Administration,1417,3265859,https://amexgbt.freshservice.com/a/tickets/3265859,no,,,
yes,CWT support,CWT-Federated Single Sign On Integration Request,1415,3265952,https://amexgbt.freshservice.com/a/tickets/3265952,no,,,
yes,CWT support,CWT-Finance Operations (CWT/GP) on boarding/off boarding,1433,3265953,https://amexgbt.freshservice.com/a/tickets/3265953,yes,17000393475,CWT Global IT Service Request,
no,CWT support,CWT-General Storage allocation Request,1413,,,no,,,"POST /api/v2/service_catalog/items/1413/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""support_group_or_business_will_be_used"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,CWT-GDS Sine Request,1414,3265860,https://amexgbt.freshservice.com/a/tickets/3265860,yes,17000392781,CWT GDS TEAM,
yes,CWT support,CWT-Increase Mailbox Storage Request,1421,3265954,https://amexgbt.freshservice.com/a/tickets/3265954,no,,,
yes,CWT support,CWT-LATAM IT New Development Request,1426,3265955,https://amexgbt.freshservice.com/a/tickets/3265955,yes,17000392834,CWT LATAM-BR System Development,
yes,CWT support,CWT-Matrix Vendor / Supplier Setup Request - NON AIR,1418,3265956,https://amexgbt.freshservice.com/a/tickets/3265956,no,,,
yes,CWT support,CWT-Load Balancer VIP Request,1408,3265861,https://amexgbt.freshservice.com/a/tickets/3265861,no,,,
yes,CWT support,CWT-Modify Secure File Transfers - Automated,1410,3265862,https://amexgbt.freshservice.com/a/tickets/3265862,no,,,
yes,CWT support,CWT-myCWT Messaging Implementation Request,1441,3265957,https://amexgbt.freshservice.com/a/tickets/3265957,yes,17000393232,CWT myCWT Messaging Implementations,
no,CWT support,CWT-Oracle Supplier Request Form,1411,,,no,,,"POST /api/v2/service_catalog/items/1411/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""country"",""message"":""This field cannot be empty"",""code"":""missing_field""}]}"
yes,CWT support,CWT-Outlook Mail Administration (Create/Modify/Delete),1466,3265958,https://amexgbt.freshservice.com/a/tickets/3265958,no,,,
yes,CWT support,CWT-Sabre Red 360 Request,1412,3265959,https://amexgbt.freshservice.com/a/tickets/3265959,yes,17000393238,CWT Sabre Red 360,
yes,CWT support,CWT-Red Apps CWT,1409,3265863,https://amexgbt.freshservice.com/a/tickets/3265863,yes,17000393236,CWT Red Apps CWT,
yes,CWT support,CWT-URL Filtering,1401,3265960,https://amexgbt.freshservice.com/a/tickets/3265960,no,,,
no,CWT support,CWT-VMware Automated Server Build Request,1420,,,no,,,"POST /api/v2/service_catalog/items/1420/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""cpu_gt_4_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""cpu_justification_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""memory_gt_8_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""memory_justification_325251"",""messag"
yes,CWT support,CWT-XM Fax Service Request,1446,3265961,https://amexgbt.freshservice.com/a/tickets/3265961,no,,,
no,CWT support,D&G Chat Help & Change Request,1532,,,no,,,"POST /api/v2/service_catalog/items/1532/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""severity_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""affected_workflow_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,DBA Services Request,1458,3265864,https://amexgbt.freshservice.com/a/tickets/3265864,no,,,
yes,CWT support,DNA Data Imports and Exports,1457,3265865,https://amexgbt.freshservice.com/a/tickets/3265865,no,,,
yes,CWT support,Domain Email Handling Request,1442,3265866,https://amexgbt.freshservice.com/a/tickets/3265866,yes,17000392766,CWT Messaging,
yes,CWT support,EDE Contact Initiation Form,1388,3265867,https://amexgbt.freshservice.com/a/tickets/3265867,yes,17000392780,CWT EDE,
yes,CWT support,Email DMARC Request (DKIM / SPF),1463,3265962,https://amexgbt.freshservice.com/a/tickets/3265962,no,,,
no,CWT support,Encryption (Vormetric) Modification,1455,,,no,,,"POST /api/v2/service_catalog/items/1455/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""if_other_please_specifiy_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,Extranet B2B VPN,1462,3265963,https://amexgbt.freshservice.com/a/tickets/3265963,no,,,
yes,CWT support,Encryption Key Creation,1451,3265868,https://amexgbt.freshservice.com/a/tickets/3265868,no,,,
no,CWT support,Fastly NGWAF agent install,1534,,,no,,,"POST /api/v2/service_catalog/items/1534/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""service_request"",""message"":""Invalid Invalid value Name of Servers: 205429"",""code"":""invalid_value""}]}"
yes,CWT support,GDPR Security SAR Process,1461,3265869,https://amexgbt.freshservice.com/a/tickets/3265869,no,,,
yes,CWT support,FR IT Back-Office Requests,1399,3265870,https://amexgbt.freshservice.com/a/tickets/3265870,yes,17000393471,CWT FR IT AS400,
yes,CWT support,General Application Middleware Request,1445,3265871,https://amexgbt.freshservice.com/a/tickets/3265871,yes,17000393492,CWT APP MIDDLEWARE & SUPPORT,
yes,CWT support,General Cloud Platform Service Request,1389,3265872,https://amexgbt.freshservice.com/a/tickets/3265872,yes,17000393502,CWT Cloud Operations,
yes,CWT support,Global Telephony Service Request,1444,3265873,https://amexgbt.freshservice.com/a/tickets/3265873,no,,,
yes,CWT support,Group Policy Object (GPO) Modification Request,1443,3265874,https://amexgbt.freshservice.com/a/tickets/3265874,no,,,
